,group,cluster,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_RBXX01000002.1.region001,0.0,True,"(1894.3, 482.75)",P1<br>NZ_RBXX01000002.1.region001<br>['NRPS']<br>azicemicin B<br>0.18,BGC,1894.3,482.75,0.40
BGC0000202,0.0,True,"(1816.9, 449.06)",BGC0000202<br>Polyketide<br>azicemicin B,MIBIG (KnownClusterBlast),1816.9,449.06,0.40
NZ_RBXX01000002.1.region002,1.0,True,"(1814.3, 1723.5)",P1<br>NZ_RBXX01000002.1.region002<br>['NRPS']<br>RP-1776<br>0.04,BGC,1814.3,1723.5,0.40
BGC0000429,1.0,True,"(1811.1, 1806.2)",BGC0000429<br>NRP;Polyketide<br>skyllamycin A;skyllamycin B,MIBIG (KnownClusterBlast),1811.1,1806.2,0.40
NZ_RBXX01000002.1.region003,2.0,True,"(1406.8, 742.44)",P1<br>NZ_RBXX01000002.1.region003<br>['ectoine']<br>ectoine<br>1.00,BGC,1406.8,742.44,0.40
BGC0000853,2.0,True,"(1413.5, 788.98)",BGC0000853<br>Other<br>ectoine,MIBIG (BiG-SCAPE),1413.5,788.98,0.40
NZ_RBXX01000002.1.region004,3.0,True,"(1061.9, 522.24)",P1<br>NZ_RBXX01000002.1.region004<br>['lassopeptide']<br>anantin B1 / anantin B2<br>0.40,BGC,1061.9,522.24,0.40
BGC0001506,3.0,True,"(1008.7, 468.0)",BGC0001506<br>RiPP<br>anantin B1;anantin B2,MIBIG (KnownClusterBlast),1008.7,468.0,0.40
NZ_RBXX01000002.1.region008,4.0,True,"(1469.5, 1672.9)",P1<br>NZ_RBXX01000002.1.region008<br>['T1PKS']<br>maduropeptin<br>0.28,BGC,1469.5,1672.9,0.40
BGC0001008,4.0,True,"(1451.4, 1756.6)",BGC0001008<br>Polyketide<br>maduropeptin,MIBIG (KnownClusterBlast),1451.4,1756.6,0.40
NZ_RBXX01000002.1.region009,5.0,True,"(2354.3, 771.67)",P1<br>NZ_RBXX01000002.1.region009<br>['amglyccycl']<br>cetoniacytone A<br>0.45,BGC,2354.3,771.67,0.40
BGC0000283,5.0,True,"(2361.1, 714.68)",BGC0000283<br>Other<br>cetoniacytone A,MIBIG (KnownClusterBlast),2361.1,714.68,0.40
NZ_RBXX01000002.1.region010,6.0,True,"(1951.0, 3016.3)",P1<br>NZ_RBXX01000002.1.region010<br>['terpene']<br>tetronomycin<br>0.06,BGC,1951.0,3016.3,0.40
BGC0000164,6.0,True,"(1865.6, 2981.8)",BGC0000164<br>Polyketide<br>tetronomycin,MIBIG (KnownClusterBlast),1865.6,2981.8,0.40
NZ_RBXX01000002.1.region011,7.0,True,"(2519.7, 1898.0)","P1<br>NZ_RBXX01000002.1.region011<br>['T2PKS', 'T1PKS']<br>xantholipin<br>0.08",BGC,2519.7,1898.0,0.40
BGC0000279,7.0,True,"(2450.8, 1890.5)",BGC0000279<br>Polyketide<br>xantholipin,MIBIG (KnownClusterBlast),2450.8,1890.5,0.40
NZ_RBXX01000002.1.region012,8.0,True,"(1076.0, 1735.7)","P1<br>NZ_RBXX01000002.1.region012<br>['indole', 'lanthipeptide-class-iv']<br>Sch-47554 / Sch-47555<br>0.07",BGC,1076.0,1735.7,0.40
BGC0000268,8.0,True,"(1085.8, 1696.5)",BGC0000268<br>Polyketide<br>Sch-47554;Sch-47555,MIBIG (KnownClusterBlast),1085.8,1696.5,0.40
NZ_RBXX01000002.1.region013,9.0,True,"(1911.5, 1053.6)",P1<br>NZ_RBXX01000002.1.region013<br>['terpene']<br>geosmin<br>1.00,BGC,1911.5,1053.6,0.40
BGC0001181,9.0,True,"(1895.5, 983.7)",BGC0001181<br>Terpene<br>geosmin,MIBIG (KnownClusterBlast),1895.5,983.7,0.40
NZ_RBXX01000002.1.region014,10.0,True,"(1668.6, 1031.8)",P1<br>NZ_RBXX01000002.1.region014<br>['terpene']<br>hopene<br>0.46,BGC,1668.6,1031.8,0.40
BGC0000663,10.0,True,"(1756.8, 1103.1)",BGC0000663<br>Terpene<br>hopene,MIBIG (KnownClusterBlast),1756.8,1103.1,0.40
NZ_RBXX01000002.1.region015,11.0,True,"(1084.3, 2822.8)",P1<br>NZ_RBXX01000002.1.region015<br>['CDPS']<br>meridamycin<br>0.05,BGC,1084.3,2822.8,0.40
BGC0001011,11.0,True,"(1006.9, 2789.1)",BGC0001011<br>NRP;Polyketide<br>meridamycin,MIBIG (KnownClusterBlast),1006.9,2789.1,0.40
NZ_RBXX01000002.1.region016,12.0,True,"(2253.7, 2298.9)",P1<br>NZ_RBXX01000002.1.region016<br>['terpene']<br>neoantimycin<br>0.20,BGC,2253.7,2298.9,0.40
BGC0001919,12.0,True,"(2243.7, 2370.8)",BGC0001919<br>NRP;Polyketide<br>neoantimycin,MIBIG (KnownClusterBlast),2243.7,2370.8,0.40
NZ_RBXX01000002.1.region017,13.0,True,"(1653.7, 2301.1)","P1<br>NZ_RBXX01000002.1.region017<br>['CDPS', 'T3PKS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57",BGC,1653.7,2301.1,0.40
BGC0001077,13.0,True,"(1639.4, 2217.0)",BGC0001077<br>Polyketide<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones,MIBIG (KnownClusterBlast),1639.4,2217.0,0.40
NZ_RBXX01000002.1.region018,14.0,True,"(2662.5, 1117.5)",P1<br>NZ_RBXX01000002.1.region018<br>['redox-cofactor']<br>lankacidin C<br>0.13,BGC,2662.5,1117.5,0.40
BGC0001100,14.0,True,"(2592.6, 1043.4)",BGC0001100<br>NRP;Polyketide<br>lankacidin C,MIBIG (KnownClusterBlast),2592.6,1043.4,0.40
NZ_RBXX01000002.1.region019,15.0,True,"(2148.9, 1005.1)",P1<br>NZ_RBXX01000002.1.region019<br>['terpene']<br>2-methylisoborneol<br>1.00,BGC,2148.9,1005.1,0.40
BGC0000659,15.0,True,"(2050.6, 1022.0)",BGC0000659<br>Terpene<br>2-methylisoborneol,MIBIG (BiG-SCAPE),2050.6,1022.0,0.40
NZ_RBXX01000002.1.region020,16.0,True,"(1440.8, 1607.7)","P1<br>NZ_RBXX01000002.1.region020<br>['T1PKS', 'NRPS', 'RiPP-like']<br>heat-stable antifungal factor<br>0.38",BGC,1440.8,1607.7,0.40
